text,label
"Government announces new healthcare policy to improve public services",REAL
"Aliens land in New York City park and demand pizza",FAKE
"Stock market hits record high today as economy grows",REAL
"Scientists confirm chocolate cures all diseases including cancer",FAKE
"President signs new climate change legislation into law",REAL
"NASA discovers planet made entirely of gold near Earth",FAKE
"Federal Reserve raises interest rates to combat inflation",REAL
"Drinking bleach confirmed to boost immune system by doctors",FAKE
"New COVID vaccine shows 95 percent effectiveness in trials",REAL
"Bill Gates microchips found inside COVID vaccines says study",FAKE
"Local government approves new public transportation budget",REAL
"Secret underground city found beneath Sahara desert by explorers",FAKE
"Tech giant reports record quarterly earnings this year",REAL
"Scientists prove Earth is only 2000 years old new study",FAKE
"United Nations holds emergency meeting on global food crisis",REAL
"Moon is actually a giant hologram controlled by governments",FAKE
"Olympic athletes break three world records at summer games",REAL
"Lizard people running world governments exposed by whistleblower",FAKE
"Hospital develops new treatment for rare childhood cancer",REAL
"Eating sand daily improves brain function say researchers",FAKE
"Major earthquake strikes coastal region hundreds evacuated",REAL
"Time travel machine invented in garage by retired teacher",FAKE
"Congress passes bipartisan infrastructure bill with broad support",REAL
"5G towers secretly spreading mind control chemicals says expert",FAKE
"Scientists discover new species of deep sea fish in Pacific",REAL
"Gravity reversed in small town no explanation found",FAKE
"Global leaders meet at summit to discuss trade agreements",REAL
"Drinking vinegar cures diabetes permanently confirms new study",FAKE
"Renewable energy now accounts for thirty percent of US power",REAL
"Bigfoot captured alive in Montana by forest rangers",FAKE
"University study finds regular exercise reduces heart disease risk",REAL
"CIA admits to faking moon landing in secret document leak",FAKE
"New drug shows promise in treating Alzheimers disease",REAL
"Broccoli contains wifi signal blocking properties scientists say",FAKE
"World Health Organization issues new pandemic preparedness plan",REAL
"Elvis Presley spotted alive at gas station in Arizona",FAKE
"Tech startup raises record funding for AI medical diagnostics",REAL
"Flat Earth proven by sailor who reached the ice wall edge",FAKE
"International trade deal signed between US and European Union",REAL
"Sun will explode in 2025 according to NASA secret report",FAKE
"Record number of students graduate from state universities this year",REAL
"Ancient alien technology found in Egyptian pyramids by archaeologists",FAKE
"Central bank announces digital currency pilot program launch",REAL
"Chemtrails confirmed as population control method by whistleblower",FAKE
"New bridge construction creates thousands of jobs in region",REAL
"Vaccines cause autism confirmed in massive new global study",FAKE
"City council approves affordable housing development downtown",REAL
"Donald Trump secretly cloned in underground lab says defector",FAKE
"Scientists map complete human genome for first time ever",REAL
"The Titanic sinking was faked to collect insurance money",FAKE
"NASA successfully tests new rocket engine for Mars mission",REAL
"Fluoride in water is government mind control chemical expert says",FAKE
"Local school district improves test scores with new curriculum",REAL
"Shape shifting reptiles control all major world governments",FAKE
"Health department urges vaccinations ahead of flu season",REAL
"Time stops every night for five minutes nobody notices",FAKE
"Electric vehicle sales surpass gasoline cars for first time",REAL
"Soros pays protestors fifty dollars per hour leaked emails show",FAKE
"New study links processed food consumption to health risks",REAL
"Barack Obama born on Mars revealed by deathbed confession",FAKE
"Airport reports record passenger numbers during holiday season",REAL
"Hollow Earth civilization discovered through Arctic drilling project",FAKE
"Scientists develop new battery that lasts ten times longer",REAL
"Deep state planning to replace all humans with robots by 2030",FAKE
"Youth unemployment rate falls to lowest level in decade",REAL
"Adrenochrome harvested from children by Hollywood elite insiders say",FAKE
"Major retailer announces expansion creating five thousand new jobs",REAL
"Weather control machine causes all recent hurricanes says source",FAKE
"Government subsidizes clean energy research with new funding",REAL
"George Soros controls all world banks secret document reveals",FAKE
"Breakthrough cancer treatment approved by FDA after trials",REAL
"Drinking urine daily prevents cancer confirmed by scientists",FAKE
"New highway reduces commute times for millions of drivers",REAL
"Dinosaurs still alive hidden on secret island government admits",FAKE
"Central park renovation completed on time under budget",REAL
"COVID was bioweapon created in lab to reduce world population",FAKE
"Storm causes widespread power outages across three states",REAL
"Pyramids were actually built last century as tourist attractions",FAKE
"New policy requires background checks for gun purchases",REAL
"CIA put LSD in all water supplies since 1975 document shows",FAKE
"Local library expands digital collection for remote learners",REAL
"Sunscreen contains cancer causing nanobots confirms new research",FAKE
"State legislature passes teacher pay raise bill unanimously",REAL
"World leaders meet secretly to plan global currency reset",FAKE
"Scientists find evidence of ancient river system on Mars",REAL
"Eating magnets makes you immune to all viruses doctors say",FAKE
"New airport terminal opens after three years of construction",REAL
"JFK Jr alive and working as Trumps secret advisor sources say",FAKE
"Public library system reports increased membership this quarter",REAL
"Shadow government controls elections in all countries expert claims",FAKE
"University researchers develop new water purification method",REAL
"Sleeping under full moon causes memory loss scientists confirm",FAKE
"City launches new recycling program to reduce landfill waste",REAL
"Secret tunnel network beneath Washington used by Illuminati exposed",FAKE
"Hospital opens new pediatric wing to serve more patients",REAL
"Mountains are actually ancient tree stumps from giant forests",FAKE
"New bridge construction will reduce traffic in metro area",REAL
"Drinking saltwater cures all forms of cancer doctors admit",FAKE
"Federal agency approves new food safety guidelines for imports",REAL
"Stanley Kubrick admitted to faking all NASA footage before death",FAKE
